config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_0744,Random_50M_150M,4,608,6,1,16,16,2848,54.2900,352.00,18.42,0.9230,0.1418,0.5015,0.6916,0.3597,0.4629,10.3756,33.7,34.0,0,1900.8,3.801,
RND_0745,Random_50M_150M,28,352,8,1,64,16,1792,27.1900,917.00,36.78,2.0571,0.3284,0.4296,0.6907,0.1012,0.8838,6.5042,33.7,33.7,0,1900.8,3.800,
RND_0746,Random_50M_150M,27,384,12,4,64,16,1184,30.3900,748.00,32.91,1.7681,0.1053,0.4025,0.7103,0.2972,0.7117,16.4228,34.4,33.7,0,1900.8,3.801,
RND_0747,Random_50M_150M,6,640,4,4,16,48,1664,17.1200,293.00,58.41,2.1037,0.1052,0.3105,0.6167,0.2053,0.6532,13.4941,33.7,34.0,0,1900.8,3.800,
RND_0748,Random_50M_150M,25,416,12,1,48,32,1952,25.1600,1066.00,39.75,2.2981,0.1013,0.3890,0.7022,0.2877,0.8939,20.6600,34.7,36.1,0,1900.8,3.787,
RND_0749,Random_50M_150M,21,512,8,2,48,16,1920,9.1900,783.00,108.81,4.1562,0.1048,0.5324,0.9776,0.4277,2.2129,55.5478,33.7,34.0,0,1900.8,3.792,
RND_0750,Random_50M_150M,3,640,8,4,48,32,2912,54.2000,331.00,18.45,0.9030,0.1179,0.4030,0.5682,0.2851,0.3639,8.0453,34.4,34.4,0,1900.8,3.789,
RND_0751,Random_50M_150M,28,480,16,16,48,64,1312,16.8800,1504.00,59.24,3.3405,0.1685,0.4681,0.8960,0.2997,1.5638,31.2835,33.4,34.7,0,1900.8,3.787,
RND_0752,Random_50M_150M,18,544,1,1,16,48,1664,26.9600,1102.00,37.09,2.2519,0.0967,0.3155,0.5877,0.2188,0.7105,15.3983,36.8,34.7,0,1900.8,3.794,
RND_0753,Random_50M_150M,27,352,16,2,16,32,1440,31.4400,826.00,31.81,1.8120,0.3813,0.6291,0.8756,0.2478,1.1399,14.0307,33.7,36.4,0,1363.2,3.761,
RND_0754,Random_50M_150M,13,640,8,1,64,64,2336,24.1600,1001.00,41.39,2.2841,0.0910,0.3150,0.7306,0.2240,0.7196,15.9895,36.4,34.0,0,1900.8,3.783,
RND_0755,Random_50M_150M,18,416,12,1,16,16,1216,41.5000,446.00,24.10,1.1930,0.1366,0.3028,0.4712,0.1662,0.3612,6.1972,34.0,34.7,0,1900.8,3.781,
RND_0756,Random_50M_150M,11,608,6,6,32,32,2816,29.7200,935.00,33.65,1.9781,0.0845,0.2969,0.4423,0.2124,0.5873,13.1278,34.4,34.0,0,1900.8,3.780,
RND_0757,Random_50M_150M,13,640,8,8,48,32,2560,7.8900,843.00,126.74,4.7720,0.1216,0.5212,0.8186,0.3996,2.4869,59.5869,34.7,34.7,0,1900.8,3.778,
RND_0758,Random_50M_150M,18,640,2,2,32,16,1536,28.1100,821.00,35.57,1.9238,0.0931,0.2860,0.4797,0.1928,0.5501,11.5920,34.0,34.4,0,1900.8,3.776,
RND_0759,Random_50M_150M,24,608,6,2,48,48,992,28.1300,800.00,35.55,1.9020,0.0971,0.2810,0.4098,0.1839,0.5345,10.9308,35.4,34.4,0,1900.8,3.780,
RND_0760,Random_50M_150M,17,416,8,8,16,48,1248,41.0600,503.00,24.35,1.2580,0.1230,0.2568,0.4122,0.1339,0.3231,5.2631,34.4,34.4,0,1900.8,3.777,
RND_0761,Random_50M_150M,26,576,1,1,16,48,1248,23.6800,1497.00,42.23,2.8061,0.0943,0.3616,0.5736,0.2672,1.0146,23.4331,34.0,33.7,0,1900.8,3.775,
RND_0762,Random_50M_150M,19,608,6,3,16,64,2592,20.4900,1508.00,48.80,3.0209,0.1088,0.3972,0.6693,0.2883,1.1998,27.2184,34.0,34.4,0,1900.8,3.771,
RND_0763,Random_50M_150M,15,608,1,1,64,64,2528,26.5900,1049.00,37.61,2.2149,0.1041,0.3154,0.6255,0.2114,0.6987,14.6288,34.0,34.7,0,1900.8,3.770,
RND_0764,Random_50M_150M,21,512,6,2,64,48,864,38.7500,604.00,25.81,1.4040,0.1210,0.3304,0.6250,0.2094,0.4639,9.1891,34.7,34.0,0,1900.8,3.768,
RND_0765,Random_50M_150M,23,640,6,2,16,48,960,28.0800,969.00,35.61,2.0730,0.1243,0.3050,0.4568,0.1807,0.6322,11.7034,34.0,34.4,0,1900.8,3.766,
RND_0766,Random_50M_150M,17,640,16,2,48,32,2240,7.2100,1083.00,138.70,5.3826,0.1275,0.5281,0.8720,0.4005,2.8424,67.3711,34.4,34.4,0,1900.8,3.765,
RND_0767,Random_50M_150M,13,512,2,2,64,16,1472,43.3600,474.00,23.06,1.1889,0.0973,0.2975,0.3698,0.2002,0.3537,7.4372,34.4,34.4,0,1900.8,3.773,
RND_0768,Random_50M_150M,14,576,16,1,64,48,2560,8.5400,951.00,117.10,4.5810,0.1070,0.4967,0.7539,0.3897,2.2752,55.7818,34.7,34.7,0,1900.8,3.764,
RND_0769,Random_50M_150M,19,320,12,12,48,48,1248,34.7100,623.00,28.81,1.5161,0.1197,0.3661,0.5668,0.2465,0.5551,11.6777,34.0,34.0,0,1900.8,3.763,
RND_0770,Random_50M_150M,15,480,2,2,64,64,1216,44.6700,421.00,22.39,1.1150,0.1186,0.2735,0.3605,0.1549,0.3049,5.3979,34.7,34.0,0,1900.8,3.771,
RND_0771,Random_50M_150M,11,544,6,6,48,32,1152,41.3300,381.00,24.20,1.1311,0.1212,0.2390,0.2816,0.1178,0.2703,4.1628,33.7,34.0,0,1900.8,3.762,
RND_0772,Random_50M_150M,28,576,6,2,64,32,1888,18.9700,1545.00,52.71,3.1792,0.1049,0.4281,0.8796,0.3232,1.3611,32.1082,33.7,35.4,0,1900.8,3.757,
RND_0773,Random_50M_150M,26,480,16,2,16,32,960,31.3100,732.00,31.94,1.7221,0.1123,0.2980,0.4363,0.1857,0.5132,9.9926,34.7,34.7,0,1900.8,3.757,
RND_0774,Random_50M_150M,12,512,4,4,48,16,1984,12.6200,437.00,79.24,2.8934,0.0934,0.4091,0.6664,0.3157,1.1838,28.5457,34.0,34.0,0,1900.8,3.765,
RND_0775,Random_50M_150M,25,352,16,2,48,64,608,21.0300,880.00,47.55,2.3541,0.2196,0.5556,0.8114,0.3360,1.3079,24.7197,34.7,34.0,0,1900.8,4.389,
RND_0776,Random_50M_150M,24,544,2,1,16,64,2304,13.9000,1926.00,71.94,4.1562,0.2566,0.5680,1.0046,0.3114,2.3609,40.4454,33.7,34.4,0,1900.8,4.376,
