config_id,category,n_layer,d_model,n_h,n_kv,d_qk,d_v,d_mlp,decode_tok_s,ttft_ms,tpot_ms,duration_s,baseline_power_w,active_power_w,peak_power_w,dynamic_power_w,total_energy_j,dynamic_energy_per_token_mj,temp_cpu_start_c,temp_cpu_end_c,cooling_state,cpu_freq_mhz,voltage_v,notes
RND_1127,Random_50M_150M,7,640,16,16,16,48,2688,7.7200,726.00,129.53,4.7415,0.2613,0.5647,0.7745,0.3034,2.6774,44.9592,34.4,34.7,0,1900.8,4.381,
RND_1128,Random_50M_150M,8,608,1,1,64,16,1440,25.5800,715.00,39.09,1.9269,0.2500,0.3964,0.5701,0.1464,0.7638,8.8136,35.4,34.7,0,1900.8,4.376,
RND_1129,Random_50M_150M,13,544,16,16,16,48,2272,18.3200,1369.00,54.59,3.0611,0.2582,0.5221,0.7175,0.2639,1.5982,25.2411,34.7,36.1,0,1900.8,4.372,
RND_1130,Random_50M_150M,15,480,1,1,32,48,1792,18.6500,1235.00,53.62,2.8972,0.2917,0.5246,0.9935,0.2329,1.5199,21.0867,36.1,36.4,0,1900.8,4.371,
RND_1131,Random_50M_150M,16,512,16,2,64,16,1984,6.6100,965.00,151.29,5.6549,0.2842,0.6118,0.8601,0.3276,3.4595,57.8904,36.8,37.1,0,1900.8,4.365,
RND_1132,Random_50M_150M,6,640,2,2,32,48,1600,28.2100,427.00,35.45,1.5259,0.2712,0.4379,0.6361,0.1667,0.6683,7.9507,36.4,37.1,0,1900.8,4.370,
RND_1133,Random_50M_150M,20,416,4,2,16,64,1344,24.4700,769.00,40.87,2.0359,0.2452,0.4784,0.7445,0.2332,0.9739,14.8335,36.4,37.5,0,1900.8,4.362,
RND_1134,Random_50M_150M,14,448,8,1,64,32,1248,21.4200,624.00,46.69,2.0712,0.2355,0.4976,0.7979,0.2621,1.0307,16.9645,36.4,36.4,0,1900.8,4.362,
RND_1135,Random_50M_150M,14,576,8,2,64,64,1632,19.7100,1088.00,50.74,2.6608,0.2496,0.4925,0.6873,0.2429,1.3104,20.1964,36.8,37.5,0,1900.8,4.353,
RND_1136,Random_50M_150M,21,416,1,1,64,64,1344,23.9000,768.00,41.84,2.0651,0.2789,0.5171,0.6828,0.2382,1.0679,15.3710,37.5,37.8,0,1900.8,4.355,
RND_1137,Random_50M_150M,11,640,4,2,32,32,2848,19.0900,1263.00,52.38,2.8869,0.2682,0.4921,0.6931,0.2239,1.4208,20.2023,37.5,37.8,0,1900.8,4.352,
RND_1138,Random_50M_150M,23,512,6,3,32,32,1536,6.3800,1002.00,156.74,5.8609,0.2791,0.6284,0.8378,0.3493,3.6828,63.9729,37.8,38.8,0,1900.8,4.346,
RND_1139,Random_50M_150M,17,416,8,4,48,32,1504,24.0100,807.00,41.65,2.0981,0.2693,0.4920,0.7259,0.2227,1.0323,14.6028,38.1,38.5,0,1900.8,4.346,
RND_1140,Random_50M_150M,25,480,6,1,48,64,1568,16.1300,1390.00,62.00,3.3119,0.3860,0.5577,1.0426,0.1717,1.8471,17.7741,38.8,39.2,0,1900.8,4.342,
RND_1141,Random_50M_150M,22,608,8,2,32,32,2368,11.8900,2138.00,84.10,4.7452,0.3114,0.5844,1.0279,0.2730,2.7730,40.4755,38.8,38.8,0,1900.8,4.333,
RND_1142,Random_50M_150M,14,384,2,1,48,48,1984,27.0000,689.00,37.04,1.8371,0.2634,0.4892,0.7397,0.2259,0.8988,12.9680,38.1,39.2,0,1900.8,4.331,
RND_1143,Random_50M_150M,26,544,8,8,48,16,1152,15.4300,1379.00,64.81,3.3881,0.2558,0.5489,0.7910,0.2931,1.8598,31.0328,38.8,39.2,0,1900.8,4.334,
RND_1144,Random_50M_150M,22,480,6,2,32,16,2432,14.9400,1638.00,66.93,3.7130,0.2585,0.5757,0.8744,0.3172,2.1375,36.8062,39.2,39.8,0,1900.8,4.323,
RND_1145,Random_50M_150M,18,480,1,1,64,16,1152,23.4000,1011.00,42.74,2.3358,0.2413,0.4861,0.6654,0.2449,1.1355,17.8731,38.8,39.5,0,1900.8,4.318,
RND_1146,Random_50M_150M,19,448,16,4,32,48,896,9.2000,782.00,108.70,4.1516,0.3022,0.6202,0.9395,0.3180,2.5747,41.2577,39.2,39.5,0,1900.8,4.311,
RND_1147,Random_50M_150M,23,512,2,1,32,32,1536,6.8700,974.00,145.56,5.4864,0.2867,0.6317,0.8458,0.3451,3.4658,59.1592,39.5,40.2,0,1900.8,4.314,
RND_1148,Random_50M_150M,25,288,8,2,16,16,1568,26.8200,836.00,37.29,1.9919,0.2765,0.5522,0.9679,0.2757,1.0998,17.1583,39.2,40.2,0,1900.8,4.316,
RND_1149,Random_50M_150M,24,320,1,1,48,16,1440,22.1100,1057.00,45.23,2.4591,0.2601,0.5830,0.9455,0.3229,1.4337,24.8124,39.2,39.5,0,1900.8,4.308,
RND_1150,Random_50M_150M,19,480,1,1,16,48,2080,15.4300,1757.00,64.81,3.7661,0.2970,0.5636,0.9118,0.2666,2.1225,31.3760,39.5,39.8,0,1900.8,4.294,
RND_1151,Random_50M_150M,7,640,4,4,32,16,1536,11.4500,420.00,87.34,3.1274,0.3093,0.5204,0.9120,0.2111,1.6275,20.6271,39.2,39.8,0,1900.8,4.296,
RND_1152,Random_50M_150M,23,544,16,4,16,32,2176,13.7300,1933.00,72.83,4.1908,0.2535,0.5935,0.9526,0.3400,2.4872,44.5328,39.5,40.2,0,1900.8,4.293,
RND_1153,Random_50M_150M,17,576,12,1,64,48,2464,14.3100,1823.00,69.88,3.9893,0.2851,0.5777,0.9533,0.2926,2.3046,36.4749,39.5,40.2,0,1900.8,4.275,
RND_1154,Random_50M_150M,21,288,16,2,48,48,1408,24.8400,894.00,40.26,2.1420,0.2388,0.5790,0.8033,0.3402,1.2403,22.7733,39.5,40.5,0,1900.8,4.280,
RND_1155,Random_50M_150M,6,640,8,4,32,64,2240,9.5900,549.00,104.28,3.7815,0.2748,0.5708,0.9017,0.2959,2.1583,34.9710,39.5,40.2,0,1900.8,4.267,
RND_1156,Random_50M_150M,10,576,16,8,48,16,1088,10.7300,517.00,93.20,3.4061,0.2814,0.5701,1.0922,0.2886,1.9418,30.7231,39.8,40.9,0,1900.8,4.267,
RND_1157,Random_50M_150M,26,544,6,6,16,32,2176,11.9700,2066.00,83.54,4.6558,0.4421,0.5927,0.9287,0.1506,2.7596,21.9105,39.8,40.9,0,1900.8,4.249,
RND_1158,Random_50M_150M,22,448,4,2,64,32,1632,18.5200,1227.00,54.00,2.9009,0.3091,0.5504,0.7759,0.2412,1.5965,21.8690,39.8,40.5,0,1900.8,4.253,
RND_1159,Random_50M_150M,28,544,4,2,48,16,2432,10.4200,2386.00,95.97,5.3610,0.2356,0.6345,1.0162,0.3990,3.4016,66.8378,39.8,40.5,0,1900.8,4.238,
RND_1160,Random_50M_150M,28,480,12,3,64,16,1824,13.3600,1974.00,74.85,4.2944,0.3041,0.6276,0.9277,0.3235,2.6950,43.4109,39.8,41.5,0,1900.8,4.231,
RND_1161,Random_50M_150M,9,512,16,16,16,64,1280,10.5000,632.00,95.24,3.5844,0.2732,0.5995,0.8344,0.3262,2.1487,36.5422,39.8,41.2,0,1900.8,4.224,
RND_1162,Random_50M_150M,15,384,2,2,16,32,1920,10.1300,527.00,98.72,3.5872,0.2910,0.6127,0.8622,0.3217,2.1981,36.0629,39.5,40.9,0,1900.8,4.217,
RND_1163,Random_50M_150M,21,416,16,2,64,64,1024,19.3400,1098.00,51.71,2.7009,0.2518,0.5760,0.8590,0.3242,1.5557,27.3635,39.8,40.2,0,1900.8,4.212,
RND_1164,Random_50M_150M,23,416,8,2,64,64,2048,14.7900,1504.00,67.61,3.6000,0.2774,0.6302,0.9773,0.3529,2.2689,39.6989,39.5,41.2,0,1900.8,4.206,
RND_1165,Random_50M_150M,23,384,16,1,48,48,1728,6.6500,1036.00,150.38,5.6977,0.2618,0.6500,1.1745,0.3882,3.7037,69.1278,39.8,40.5,0,1900.8,4.198,
RND_1166,Random_50M_150M,23,320,12,4,64,32,1568,19.1700,1040.00,52.16,2.6571,0.5132,0.6284,0.9450,0.1152,1.6697,9.5680,39.8,40.9,0,1900.8,4.192,
RND_1167,Random_50M_150M,25,576,2,1,16,48,1408,17.1300,1314.00,58.38,3.1237,0.2274,0.5514,0.7997,0.3240,1.7224,31.6288,39.5,40.2,0,1900.8,4.183,
RND_1168,Random_50M_150M,21,448,4,2,48,48,1760,19.8300,1152.00,50.43,2.7153,0.2566,0.5411,0.9589,0.2845,1.4692,24.1385,39.8,41.5,0,1900.8,4.181,
RND_1169,Random_50M_150M,17,544,12,12,48,64,1792,15.7700,1634.00,63.41,3.5998,0.3074,0.5652,1.0331,0.2579,2.0347,29.0082,39.8,40.5,0,1900.8,4.168,
RND_1170,Random_50M_150M,25,480,16,1,48,16,1696,15.3500,1533.00,65.15,3.5525,0.2691,0.5776,0.9520,0.3085,2.0520,34.2509,39.8,40.9,0,1900.8,4.155,
RND_1171,Random_50M_150M,13,608,4,2,48,64,3168,15.8200,1618.00,63.21,3.5775,0.2490,0.5527,0.8344,0.3037,1.9775,33.9547,39.8,41.2,0,1900.8,4.147,
RND_1172,Random_50M_150M,7,544,8,8,64,32,1536,26.3200,538.00,37.99,1.7158,0.2790,0.4377,0.6726,0.1587,0.7511,8.5099,39.8,40.2,0,1900.8,4.140,
RND_1173,Random_50M_150M,10,512,6,6,32,64,2496,8.1300,725.00,123.00,4.5380,0.2872,0.6303,0.9817,0.3431,2.8603,48.6626,39.8,40.2,0,1900.8,4.136,
RND_1174,Random_50M_150M,26,288,6,6,48,16,1440,19.2300,879.00,52.00,2.4911,0.3226,0.6182,0.9441,0.2956,1.5399,23.0135,39.8,40.2,0,1900.8,4.129,
RND_1175,Random_50M_150M,10,640,8,4,32,32,3232,16.6000,1358.00,60.24,3.2255,0.2897,0.5147,0.7378,0.2249,1.6600,22.6710,39.5,40.5,0,1900.8,4.120,
RND_1176,Random_50M_150M,14,576,8,8,48,16,1472,7.7500,905.00,129.03,4.9050,0.3044,0.5851,0.9598,0.2807,2.8698,43.0197,39.8,40.2,0,1900.8,4.113,
RND_1177,Random_50M_150M,8,640,6,1,48,32,1664,9.6900,517.00,103.20,3.7162,0.2151,0.5597,0.8381,0.3446,2.0800,40.0243,39.5,40.5,0,1900.8,4.109,
RND_1178,Random_50M_150M,26,384,4,1,32,32,1376,22.3300,1009.00,44.78,2.3973,0.2753,0.5394,0.8084,0.2641,1.2931,19.7862,39.5,40.5,0,1900.8,4.099,
RND_1179,Random_50M_150M,21,448,2,1,64,64,1920,7.1300,937.00,140.25,5.2848,0.2769,0.6146,0.8703,0.3377,3.2480,55.7693,39.8,41.2,0,1900.8,4.088,
RND_1180,Random_50M_150M,8,640,4,1,16,48,2752,8.1200,712.00,123.15,4.5297,0.2832,0.5904,0.7871,0.3072,2.6744,43.4836,39.5,40.9,0,1900.8,4.084,
RND_1181,Random_50M_150M,17,384,16,8,64,32,1888,17.9800,1153.00,55.62,2.8771,0.2997,0.5998,0.9743,0.3001,1.7258,26.9849,39.5,41.5,0,1900.8,4.076,
RND_1182,Random_50M_150M,22,608,6,1,32,64,2208,12.4700,1985.00,80.19,4.4710,0.2987,0.5744,1.0060,0.2757,2.5681,38.5222,39.8,40.9,0,1900.8,4.064,
RND_1183,Random_50M_150M,10,512,8,8,16,64,2240,8.6900,625.00,115.07,4.1923,0.2578,0.6135,0.8387,0.3557,2.5719,46.5975,39.8,40.2,0,1900.8,4.061,
RND_1184,Random_50M_150M,11,544,12,6,64,48,1600,22.0000,876.00,45.45,2.2851,0.2915,0.4655,0.7754,0.1740,1.0637,12.4253,39.8,41.5,0,1900.8,4.044,
RND_1185,Random_50M_150M,8,448,8,1,16,16,2464,30.1300,568.00,33.19,1.5969,0.3133,0.4505,0.7573,0.1372,0.7194,6.8479,39.8,41.5,0,1900.8,4.038,
RND_1186,Random_50M_150M,15,640,12,1,64,32,2048,5.8000,1135.00,172.41,6.4798,0.2683,0.6214,0.8893,0.3531,4.0266,71.4938,39.8,40.9,0,1900.8,4.036,
RND_1187,Random_50M_150M,9,544,4,4,48,64,2720,23.5000,910.00,42.55,2.2291,0.2954,0.4894,0.7192,0.1940,1.0910,13.5120,39.8,40.9,0,1900.8,4.027,
