protocol,split,variant,target,n,mape,mae,r2,spearman
random,20260909,architecture_voltage_diagnostic,ttft_ms,188,18.5666024684906,189.514892578125,0.7583004236221313,0.8773157126141332
random,20260909,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,27.54455804824829,6.129820346832275,0.768146276473999,0.8649339813294756
random,20260909,architecture_order_diagnostic,tpot_ms,188,6.900546699762344,3.6282925605773926,0.9740592241287231,0.9682764574344435
random,20260909,architecture_order_diagnostic,ttft_ms,188,6.17743544280529,58.725929260253906,0.9693543314933777,0.9809559715088735
random,20260909,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,19.55898106098175,4.039010047912598,0.8570685386657715,0.9233421285986992
random,20260909,architecture_temp_voltage_diagnostic,tpot_ms,188,8.980224281549454,4.859724044799805,0.9512432813644409,0.9575270608689013
random,20260909,architecture_temp_voltage_diagnostic,ttft_ms,188,7.59454071521759,76.17425537109375,0.9375756978988647,0.9681079458270488
random,20260909,architecture_temp_voltage_diagnostic,dynamic_energy_per_token_mj,188,19.15072202682495,3.851408004760742,0.8732495307922363,0.9234595192041999
random,20260910,architecture,tpot_ms,188,23.658187687397003,12.756053924560547,0.8307151198387146,0.8398708878763266
random,20260910,architecture,ttft_ms,188,19.932252168655396,182.51707458496094,0.7860901355743408,0.880527503275651
random,20260910,architecture,dynamic_energy_per_token_mj,188,26.38683021068573,5.273825645446777,0.8604340553283691,0.8967824575012867
random,20260910,architecture_temp,tpot_ms,188,9.712722152471542,5.485116481781006,0.9528129696846008,0.9522845885001949
random,20260910,architecture_temp,ttft_ms,188,8.674018830060959,84.86100769042969,0.9037356376647949,0.959383893281455
random,20260910,architecture_temp,dynamic_energy_per_token_mj,188,19.00753527879715,4.049459457397461,0.8766894936561584,0.9392543977476397
random,20260910,architecture_voltage_diagnostic,tpot_ms,188,22.790543735027313,12.344768524169922,0.8367407917976379,0.8447453268260056
random,20260910,architecture_voltage_diagnostic,ttft_ms,188,19.126181304454803,175.09140014648438,0.7940253019332886,0.8798231542363668
random,20260910,architecture_voltage_diagnostic,dynamic_energy_per_token_mj,188,25.46738088130951,5.187572479248047,0.8651299476623535,0.9018501219283508
random,20260910,architecture_order_diagnostic,tpot_ms,188,6.200180202722549,3.2806806564331055,0.984503448009491,0.9734222074209223
random,20260910,architecture_order_diagnostic,ttft_ms,188,5.8512963354587555,54.05692672729492,0.9694414138793945,0.9775895099237725
random,20260910,architecture_order_diagnostic,dynamic_energy_per_token_mj,188,17.120450735092163,3.5250537395477295,0.9044357538223267,0.9513172128941839
random,20260910,architecture_temp_voltage_diagnostic,tpot_ms,188,8.737965673208237,4.726785182952881,0.9696478247642517,0.9622420613231127
