target,candidate,features,params,cv_mape
dynamic_energy_per_token_mj,11,baseline,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",35.940879583358765
dynamic_energy_per_token_mj,12,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",33.26423565546671
dynamic_energy_per_token_mj,13,physics,"{""max_depth"": 2, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.32250122229258
dynamic_energy_per_token_mj,14,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",33.225640654563904
dynamic_energy_per_token_mj,15,physics,"{""max_depth"": 2, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",33.85451237360636
dynamic_energy_per_token_mj,16,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",33.91811450322469
dynamic_energy_per_token_mj,17,physics,"{""max_depth"": 4, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.70472594102224
dynamic_energy_per_token_mj,18,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.06188686688741
dynamic_energy_per_token_mj,19,physics,"{""max_depth"": 4, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.26032066345215
dynamic_energy_per_token_mj,20,physics,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",35.00325878461202
dynamic_energy_per_token_mj,21,physics,"{""max_depth"": 6, ""min_child_weight"": 1, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",35.36490201950073
dynamic_energy_per_token_mj,22,physics,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:squarederror""}",34.94961460431417
dynamic_energy_per_token_mj,23,physics,"{""max_depth"": 6, ""min_child_weight"": 5, ""reg_lambda"": 5, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""objective"": ""reg:absoluteerror""}",34.628304839134216
dynamic_energy_per_token_mj,24,baseline,"{""max_depth"": 2, ""min_child_weight"": 3, ""reg_lambda"": 5, ""subsample"": 0.85, ""colsample_bytree"": 0.9, ""objective"": ""reg:squarederror""}",35.014259815216064
