model,target,n_train,partition,mape_mean,mape_split_sd,mae_mean,mae_split_sd,log_rmse_mean,log_rmse_split_sd,r2_mean,r2_split_sd,spearman_mean,spearman_split_sd
xgboost,ttft_ms,360,train,15.107428580522537,0.6822814756982273,145.52754287719728,7.65208325755567,0.16579602062702178,0.006708879804826396,0.8563087761402131,0.013920562913183629,0.9282447592300713,0.0033194919329552655
xgboost,ttft_ms,360,test,19.795033484697342,0.5249614209473183,186.66050567626954,10.722151471096959,0.21604114919900894,0.007082414182544988,0.7624426543712616,0.03117250547964728,0.8714514559982393,0.014940922211181994
xgboost,ttft_ms,480,train,15.546485930681229,0.8702505796439808,149.43948364257812,8.044455300250817,0.16985773742198945,0.008942518350507443,0.8510126590728759,0.017477622139276675,0.9252719717462137,0.006040279659487952
xgboost,ttft_ms,480,test,19.721170961856842,0.6262989253593045,186.47012786865236,11.505085491789474,0.21538443714380265,0.008135876864596839,0.761443555355072,0.036348526056598426,0.8724524020744632,0.014280588104252886
xgboost,ttft_ms,598,train,16.01549059152603,0.7497323269771236,154.09781188964843,7.120201032130103,0.17364925742149354,0.007599505735101045,0.8435343325138092,0.01592658574759747,0.921846429044219,0.006309891571049189
xgboost,ttft_ms,598,test,19.586176425218582,0.3514054721336596,185.02467041015626,9.43963679370906,0.2123296931385994,0.004668935106880908,0.7690710425376892,0.02934825862232285,0.8758539535485825,0.012620245128906468
xgboost,dynamic_energy_per_token_mj,120,train,22.519194334745407,4.314700842030732,4.37874276638031,0.5190722592784625,0.2701092064380646,0.04326767682966764,0.8745755255222321,0.021510523513016466,0.9377623446072644,0.006056363563440081
xgboost,dynamic_energy_per_token_mj,120,test,33.68914246559143,5.5770728886171135,6.818853139877319,0.422381665717007,0.3852722078561783,0.0402255872729355,0.7122304677963257,0.030887251447865253,0.8482881740704016,0.01668381882834489
xgboost,dynamic_energy_per_token_mj,240,train,25.869767516851425,3.2741839339652987,4.972518253326416,0.4598209963292261,0.30466224253177643,0.03208682288775285,0.8603613078594208,0.019954177915697802,0.9190709040087499,0.009831164334590766
xgboost,dynamic_energy_per_token_mj,240,test,31.256627142429352,4.5169916196722095,6.245170593261719,0.419639717540443,0.35916403234004973,0.03796441190478183,0.7721816003322601,0.03922962072860545,0.8648290416923878,0.021614561008412955
xgboost,dynamic_energy_per_token_mj,360,train,26.88672974705696,2.176232753470982,5.112728071212769,0.2816019411749102,0.31679528653621675,0.02172132405813806,0.8524773716926575,0.018917868585993727,0.9081995279132389,0.00959146131729558
xgboost,dynamic_energy_per_token_mj,360,test,29.93516445159912,4.359693538028795,5.997316932678222,0.37652549313751504,0.3461293399333954,0.03673779996465516,0.7912867426872253,0.038863803186362456,0.8726311428296916,0.018629337136790915
xgboost,dynamic_energy_per_token_mj,480,train,28.534314334392548,1.0436702655595602,5.345013666152954,0.2166569675693421,0.3316787302494049,0.01177351188782716,0.8395758211612702,0.01798274139574553,0.9004108032305655,0.007133778602475763
xgboost,dynamic_energy_per_token_mj,480,test,29.84927862882614,4.425083632996454,5.947124338150024,0.426843635972098,0.3450191020965576,0.0386473122781582,0.7970247268676758,0.042187372256551836,0.873693437798807,0.020052679727548907
xgboost,dynamic_energy_per_token_mj,598,train,28.47408413887024,0.780628436457213,5.431308698654175,0.1281961030234684,0.3303572565317154,0.009676781352367044,0.8389738202095032,0.009275335464089788,0.8992608680916522,0.0062322434156566195
xgboost,dynamic_energy_per_token_mj,598,test,29.585935175418854,4.701542755014746,5.838461875915527,0.4490437389680664,0.34191947877407075,0.04130669301092108,0.8068415522575378,0.03960613453479623,0.8758649836675858,0.021165636452349135
