variant,seed,target,feature,normalized_gain
compute,42,tpot_ms,mlp_ratio,0.007669451180845499
compute,42,tpot_ms,kv_ratio,0.005596401635557413
compute,42,tpot_ms,kv_bytes_per_token,0.007002025377005339
compute,42,tpot_ms,attention_width,0.007656024768948555
compute,42,tpot_ms,decode_dense_mac,0.010638301260769367
compute,42,tpot_ms,decode_attention_mac,0.009457949548959732
compute,42,tpot_ms,decode_total_mac,0.04690214619040489
compute,42,tpot_ms,prefill_dense_mac,0.048607632517814636
compute,42,tpot_ms,prefill_attention_mac,0.00868468638509512
compute,42,tpot_ms,prefill_total_mac,0.1562705934047699
compute,42,tpot_ms,sequence_mac,0.08706232160329819
compute,42,tpot_ms,mlp_mac_fraction,0.007408488541841507
compute,42,tpot_ms,classifier_mac_fraction,0.030123401433229446
compute,42,tpot_ms,attention_projection_mac,0.013704422861337662
compute,42,tpot_ms,decode_output_elements,0.04155852645635605
compute,42,ttft_ms,n_layer,0.006982892286032438
compute,42,ttft_ms,d_model,0.007877271622419357
compute,42,ttft_ms,n_h,0.012487745843827724
compute,42,ttft_ms,n_kv,0.009361657314002514
compute,42,ttft_ms,d_qk,0.003881679615005851
compute,42,ttft_ms,d_v,0.005743807647377253
compute,42,ttft_ms,d_mlp,0.007135216146707535
compute,42,ttft_ms,total_params_M,0.01833464950323105
compute,42,ttft_ms,q8_group_size,0.024267569184303284
compute,42,ttft_ms,layer_size_kb,0.006870180834084749
compute,42,ttft_ms,mlp_ratio,0.006104255560785532
compute,42,ttft_ms,kv_ratio,0.007232684176415205
compute,42,ttft_ms,kv_bytes_per_token,0.005576810333877802
compute,42,ttft_ms,attention_width,0.005721408408135176
compute,42,ttft_ms,decode_dense_mac,0.014589549042284489
compute,42,ttft_ms,decode_attention_mac,0.009009446948766708
compute,42,ttft_ms,decode_total_mac,0.0803803876042366
compute,42,ttft_ms,prefill_dense_mac,0.18196681141853333
compute,42,ttft_ms,prefill_attention_mac,0.007919534109532833
compute,42,ttft_ms,prefill_total_mac,0.4292846918106079
compute,42,ttft_ms,sequence_mac,0.09794747084379196
compute,42,ttft_ms,mlp_mac_fraction,0.007206792011857033
compute,42,ttft_ms,classifier_mac_fraction,0.015816204249858856
compute,42,ttft_ms,attention_projection_mac,0.008379051461815834
compute,42,ttft_ms,decode_output_elements,0.019922230392694473
compute,42,dynamic_energy_per_token_mj,n_layer,0.01403239369392395
compute,42,dynamic_energy_per_token_mj,d_model,0.009172122925519943
compute,42,dynamic_energy_per_token_mj,n_h,0.014167426154017448
compute,42,dynamic_energy_per_token_mj,n_kv,0.008634153753519058
compute,42,dynamic_energy_per_token_mj,d_qk,0.006800193805247545
compute,42,dynamic_energy_per_token_mj,d_v,0.008104605600237846
compute,42,dynamic_energy_per_token_mj,d_mlp,0.010655539110302925
compute,42,dynamic_energy_per_token_mj,total_params_M,0.021214812994003296
compute,42,dynamic_energy_per_token_mj,q8_group_size,0.20023088157176971
compute,42,dynamic_energy_per_token_mj,layer_size_kb,0.010930389165878296
compute,42,dynamic_energy_per_token_mj,mlp_ratio,0.010133670642971992
compute,42,dynamic_energy_per_token_mj,kv_ratio,0.008238868787884712
compute,42,dynamic_energy_per_token_mj,kv_bytes_per_token,0.007605809718370438
compute,42,dynamic_energy_per_token_mj,attention_width,0.005680561065673828
compute,42,dynamic_energy_per_token_mj,decode_dense_mac,0.009088894352316856
compute,42,dynamic_energy_per_token_mj,decode_attention_mac,0.014128758572041988
compute,42,dynamic_energy_per_token_mj,decode_total_mac,0.017725149169564247
compute,42,dynamic_energy_per_token_mj,prefill_dense_mac,0.11649597436189651
compute,42,dynamic_energy_per_token_mj,prefill_attention_mac,0.01095879077911377
compute,42,dynamic_energy_per_token_mj,prefill_total_mac,0.2344629466533661
compute,42,dynamic_energy_per_token_mj,sequence_mac,0.04420291259884834
compute,42,dynamic_energy_per_token_mj,mlp_mac_fraction,0.01016936358064413
compute,42,dynamic_energy_per_token_mj,classifier_mac_fraction,0.14340811967849731
